Year;Comp name;#;Competitor;Country;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;HÃºsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Deadlift;Farmer's Walk;Keg Toss;Atlas Stones;Front Hold;Loading Race;Medley;Car Walk;Log Lift;Frame Carry;Bus Pull;Max Axle Press;Flip & Drag;Hercules Hold;Rock Press;Nicol Stones;Shield Carry;Deadlift Ladder;Carry & Drag;Power Stairs;Dumbbell Medley;Cyr Dumbbell Ladder;Inver Stones;Sled Pull;Rogue-a-Coaster;The Duel;Arm Over Arm Pull;McGlashen Stones;Car Flip;Crucifix Hold;Tug of War;Truck Pull;Plane Pull;Viking Press;Deadlift Hold;Fingal's Fingers;Carry & Flip;Squat Lift;Vertical Lift;Conan's Wheel;Overhead Medley;Train Pull;Fridge Carry;Safe Lift;Ding Carry;Axle Press;Natural Stones;Circus Barbell;Kettlebell Toss;Tire Flip;Overhead Press;Giant's Medley;Log Ladder;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Africa Stone;Basque Circle;Car Pull;Log Medley;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine
2003;Arnold's Strength Summit;3;R. Bergmanis;LAT;4-0-3;391 kg;;3.56 m;4.27 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;4;M. Pudzianowski;POL;0-1-0;391 kg;;1.8 m;4.72 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;5;S. Kirit;USA;0-2-0;346 kg;;1.63 m;4.72 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;6;P. Pfister;USA;0-4-2;336 kg;;7.19 m;4.27 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;6;Z. SedmÃ­k;CZE;0-0-0;396 kg;;0.41 m;4.72 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;Arnold's Strength Summit;8;B. Gillingham;USA;0-1-0;443 kg;;-;4.27 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;1;Å½. Savickas;LTU;0-6-5;415 kg;;8.62 s;5.18 m;20.19 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;2;S. Karlsen;NOR;1-3-4;385 kg;;9.02 m;4.72 m;13.63 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;3;R. Bergmanis;LAT;3-0-2;385 kg;;6.96 m;4.72 m;16.27 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;4;M. Philippi;USA;2-0-2;422 kg;;9.47 m;4.57 m;19.26 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;5;M. Pudzianowski;POL;0-4-4;379 kg;;3.71 m;4.88 m;17.74 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;6;V. Virastyuk;UKR;0-3-2;357 kg;;5.21 m;5.03 m;16.96 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;7;B. Schoonveld;USA;0-3-3;349 kg;;6.3 m;-;20.04 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;8;A. Johansson;SWE;0-2-0;379 kg;;10.62 m;-;30.15 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;9;S. Kirit;USA;0-0-0;327 kg;;5.38 m;4.57 m;27.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;Arnold's Strongest Man;10;I. Ã�rvai;HUN;0-0-0;407 kg;;2.74 m;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;1;Å½. Savickas;LTU;0-6-6;416 kg;;1.96 m;5.18 m;Rd 2, All (20.45);7 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;2;V. Virastyuk;UKR;2-3-5;388 kg;;1.47 m;4.88 m;Rd 2, All (16.84);9 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;3;G. Ross;GBR;0-4-3;443 kg;;1.88 m;-;Rd 2, All (20.83);10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;4;M. Philippi;USA;2-0-1;431 kg;;7.16 m;4.57 m;Rd 2, All (22.13);3 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;5;B. Siders;USA;0-5-5;423 kg;;0.08 m;-;Rd 1, Hole 5 (50.78);10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;6;S. Karlsen;NOR;2-2-3;416 kg;;4.47 m;4.72 m;Rd 1, Hole 0;4 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;7;V. Hatfield;USA;0-3-3;362 kg;;2.67 m;-;Rd 2, All (16.75);5 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;8;K. Gillingham;USA;0-3-0;408 kg;;2.67 m;4.72 m;Rd 1, Hole 4;5 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;9;H. Girard;CAN;0-4-2;362 kg;;Withdrew;-;Rd 1, Hole 5 (27.15);10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;Arnold's Strongest Man;10;M. Samuelsson;SWE;0-3-0;318 kg;;Withdrew;5.18 m;Rd 1, Hole 0;2 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;1;Å½. Savickas;LTU;0-8-8;428 kg;;6.91 m;;;6 reps;6.25 m;7.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;2;V. Virastyuk;UKR;5-0-5;401 kg;;5.82 m;;;4 reps;6.25 m;8.07 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;3;M. Koklyaev;RUS;5-0-5;421 kg;;9.78 m;;;6 reps;5.18 m;19.32 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;4;P. Pfister;USA;0-5-4;393 kg;;6.63 m;;;6 reps;5.94 m;18.30 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;5;B. MagnÃºsson;ISL;0-3-2;433 kg;;11.47 s;;;1 rep;5.94 m;9.53 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;6;M. Pudzianowski;POL;0-5-3;391 kg;;22.93 s;;;0 reps;5.94 m;11.40 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;7;B. Siders;USA;0-5-5;448 kg;;1.7 m;;;1 rep;5.33 m;18.19 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;8;R. Bergmanis;LAT;3-0-2;389 kg;;3.45 m;;;0 reps;5.64 m;15.22 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;9;D. Filiou;CAN;0-0-0;355 kg;;2.84 m;;;0 reps;5.94 m;8.25 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;Arnold Strongman Classic;10;G. Ross;GBR;0-2-1;398 kg;;2.06 m;;;0 reps;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;1;Å½. Savickas;LTU;0-8-8;461 kg;;7.67 m;;;5 reps;;10.10 s;1 rep, 237 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;2;V. Virastyuk;UKR;6-0-5;389 kg;;7.75 s;;;6 reps;;10.56 s;2 reps, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;3;A. Murumets;EST;5-0-5;396 kg;;6.87 s;;;4 reps;;14.02 s;1 rep, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;4;P. Pfister;USA;0-5-4;384 kg;;24.82 s;;;5 reps;;11.79 s;1 rep, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;5;M. Koklyaev;RUS;3-0-3;431 kg;;4.06 m;;;5 reps;;20.59 s;1 rep, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;5;O. Pekanov;UKR;0-3-2;456 kg;;4.9 m;;;4 reps;;24.06 s;3 reps, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;7;B. Siders;USA;0-8-7;436 kg;;0.99 m;;;1 rep;;12.00 s;0 reps, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;8;S. MacDonald;USA;0-3-2;381 kg;;5.79 m;;;0 reps;;2.67 m;1 rep, 237 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;9;K. Gillingham;USA;0-3-0;Did not attempt;;8.46 m;;;3 reps;;25.17 s;1 rep, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;Arnold Strongman Classic;10;T. Ortmayer;USA;0-2-1;381 kg;;19.94 s;;;2 reps;;Did not attempt;0 reps, 220 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;1;Å½. Savickas;LTU;0-7-7;466 kg;;6.32 m;;;9 reps;;9.53 s;3 reps, 238 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;2;D. Poundstone;USA;0-2-2;413 kg;;11.59 s;;;9 reps;;9.59 s;1 rep, 238 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;3;M. Koklyaev;RUS;6-0-6;456 kg;;6.25 m;;;8 reps;;18.25 s;1 rep, 238 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;4;A. Murumets;EST;6-0-5;401 kg;;7.35 s;;;8 reps;;15.31 s;0 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;5;B. MagnÃºsson;ISL;2-3-5;471 kg;;7.95 s;;;4 reps;;15.91 s;0 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;5;B. Siders;USA;0-8-7;446 kg;;2.49 m;;;7 reps;;9.32 s;0 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;7;P. Pfister;USA;0-5-3;398 kg;;6.45 m;;;8 reps;;13.75 s;2 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;8;O. Pekanov;UKR;0-2-1;471 kg;;3.51 m;;;4 reps;;21.75 s;2 reps, 238 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;9;V. Hatfield;USA;0-2-2;398 kg;;10.62 m;;;5 reps;;24.42 s;3 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;Arnold Strongman Classic;10;V. Virastyuk;UKR;(Withdrew);(Withdrew);;2.62 m;;;8 reps;;(Withdrew);(Withdrew);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;1;D. Poundstone;USA;2-4-6;436 kg;;14.34 s;;;15 reps;;8.84 s;1 rep, 240 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;2;M. Koklyaev;RUS;7-0-7;461 kg;;12.50 s;;;8 reps;;11.49 s;2 reps, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;3;T. Ortmayer;USA;0-4-3;418 kg;;7.85 s;;;9 reps;;13.52 s;1 rep, 240 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;4;V. Blekaitis;LTU;0-4-4;451 kg;;7.62 m;;;6 reps;;8.47 s;1 rep, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;5;P. Pfister;USA;0-5-5;396 kg;;12.49 s;;;9 reps;;13.19 s;1 rep, 240 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;6;B. Siders;USA;0-8-8;443 kg;;1.91 m;;;2 reps;;9.88 s;0 reps, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;7;A. Murumets;EST;6-0-5;398 kg;;7.93 s;;;7 reps;;11.85 s;0 reps, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;8;E. Katona;SRB;0-3-3;426 kg;;7.81 s;;;0 reps;;15.12 s;1 rep, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;9;O. Pekanov;UKR;0-1-1;431 kg;;0.91 m;;;3 reps;;28.91 s;0 reps, 211 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;Arnold Strongman Classic;10;D. Ostlund;USA;0-2-2;411 kg;;4.65 m;;;Withdrew;;32.40 s;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Arnold Strongman Classic;1;D. Poundstone;USA;0 reps (208 kg) + 2 cleans;462 kg;;9.28 s;;;11 reps;;;3 reps, 242 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Arnold Strongman Classic;2;Å½. Savickas;LTU;2 reps (208 kg) + 0 cleans;467 kg;;10.16 s;;;9 reps;;;2 reps, 205 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Arnold Strongman Classic;3;T. Ortmayer;USA;0 reps (198 kg) + 1 clean;447 kg;;14.87 s;;;9 reps;;;3 reps, 242 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010;Arnold Strongman Classic;4;M. Koklyaev;RUS;1 rep (208 kg) + 1 clean;444 kg;;11.85 s;;;8 reps;;;1 rep, 242 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
